дата	фнд	печать	копия	другое	итого
20.07.2019	1000	50	0	0	1050
20.07.2019	1000	50	0	0	1050
20.07.2019	1000	50	0	0	1050
10.07.2019	2000	550	510	2210	5270
10.07.2019	2000	550	510	2210	5270
20.07.2019	1000	320	30	300	1650
20.07.2019	1000	720	30	300	2050
20.07.2019	1000	720	30	300	2050
22.07.2019	500	560	200	3190	4450
22.07.2019	500	670	200	3190	4560
22.07.2019	500	830	200	3190	4720
22.07.2019	1000	830	260	3190	5280
22.07.2019	1000	830	260	3190	5280
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
06.07.2019	550	200	950	600	2300
22.07.2019	1000	830	260	3190	5280
22.07.2019	1000	830	260	3190	5280
22.07.2019	1000	830	260	3190	5280
22.07.2019	1000	830	516	3190	5536
22.07.2019	1000	830	516	3190	5536
22.07.2019	1000	830	516	3190	5536
23.07.2019	0	10	10	0	20
23.07.2019	1000	210	20	90	1320
23.07.2019	1000	1820	90	90	3000
23.07.2019	1000	1820	110	90	3020
23.07.2019	1000	1820	135	90	3045
23.07.2019	1250	1870	135	90	3345
23.07.2019	1750	1870	135	90	3845
23.07.2019	1750	1870	365	90	4075
23.07.2019	1750	1870	365	90	4075
23.07.2019	1750	1870	365	90	4075
23.07.2019	1750	1870	365	90	4075
24.07.2019	750	0	210	5156	6116
24.07.2019	750	0	250	5156	6156
15.07.2019	2750	1760	796	6440	11746
null	650	1210	30	0	1890
null	1750	930	280	3250	6210
null	2000	800	1100	695	4595
17.07.2019	2500	340	500	1300	4640
15.07.2019	1750	930	280	3250	6210
16.07.2019	2000	800	1100	695	4595
17.07.2019	2500	340	500	1300	4640
18.07.2019	1000	1940	620	0	3560
19.07.2019	2000	40	485	5632	8157
20.07.2019	1000	720	30	300	2050
22.07.2019	1000	830	516	3190	5536
23.07.2019	1750	1870	365	90	4075
24.07.2019	1750	20	320	5866	7956
24.07.2019	1750	20	320	5866	7956
24.07.2019	1750	20	320	5866	7956
25.07.2019	0	0	0	0	0
25.07.2019	750	615	150	1500	3015
25.07.2019	750	615	150	1500	3015
25.07.2019	750	615	150	1500	3015
25.07.2019	1000	615	150	1500	3265
25.07.2019	1000	615	150	1500	3265
25.07.2019	1000	615	160	1500	3275
25.07.2019	1250	615	160	1500	3525
25.07.2019	1250	615	190	1500	3555
25.07.2019	1250	615	190	1500	3555
26.07.2019	250	110	200	0	560
